Time (microseconds),V_ch1,I_ch1,I_ch2
0.00,1.40209019184113,-0.198634892702103,-0.260328143835068
208.33,5.2260570526123,-0.0436027832329273,-0.39334300160408
416.67,7.1380410194397,-0.198634892702103,-0.412345141172409
625.00,10.3246803283691,-0.48932009935379,0.195722788572311
833.33,16.0606307983398,-0.024223767220974,0.309735536575317
1041.67,17.3352870941162,-0.353667020797729,0.062707930803299
1250.00,22.4339084625244,-0.295529961585999,0.0437058098614216
1458.33,26.2578754425049,0.150187358260155,0.347739785909653
1666.67,27.5325317382813,-0.237392917275429,0.0437058098614216
1875.00,36.4551200866699,0.130808338522911,-0.412345141172409
2083.33,38.3671035766602,0.343977510929108,-0.0323026813566685
2291.67,42.8283996582031,-0.373046010732651,0.347739785909653
2500.00,46.0150413513184,0.130808338522911,0.195722788572311
2708.33,50.4763336181641,-0.140497848391533,0.119714304804802
2916.67,53.6629753112793,-0.0436027832329273,-0.545359969139099
3125.00,59.39892578125,0.0532922893762589,-0.108311168849468
3333.33,60.6735801696777,0.150187358260155,-0.336336642503738
3541.67,65.1348724365234,-0.12111883610487,-0.412345141172409
3750.00,68.3215179443359,0.247082427144051,-0.241326034069061
3958.33,68.3215179443359,0.460251599550247,-0.013300558552146
4166.67,75.9694519042969,-0.0823608115315437,0.499756753444672
4375.00,77.8814315795898,-0.0823608115315437,0.347739785909653
4583.33,84.8920364379883,-0.101739823818207,-0.412345141172409
4791.67,87.4413528442383,0.247082427144051,-0.336336642503738
5000.00,88.7160034179688,0.227703422307968,-0.013300558552146
5208.33,93.8146286010742,-0.198634892702103,-0.260328143835068
5416.67,96.3639373779297,0.266461431980133,0.347739785909653
5625.00,97.0012664794922,0.130808338522911,0.0437058098614216
5833.33,104.011871337891,0.0726713016629219,-0.260328143835068
6041.67,104.649200439453,-0.0823608115315437,-0.0323026813566685
6250.00,106.561187744141,0.30521947145462,-0.260328143835068
6458.33,114.209121704102,-0.198634892702103,0.157718554139137
6666.67,118.033088684082,-0.140497848391533,-0.165317535400391
6875.00,124.406364440918,-0.00484475353732705,-0.0893090516328812
7083.33,128.230331420898,-0.101739823818207,0.195722788572311
7291.67,128.867660522461,-0.159876868128777,0.366741895675659
7500.00,132.054306030273,-0.0823608115315437,-0.0323026813566685
7708.33,137.152923583984,-0.276150941848755,-0.0323026813566685
7916.67,137.790252685547,-0.373046010732651,-0.260328143835068
8125.00,144.800857543945,-0.12111883610487,0.00570156471803784
8333.33,148.624816894531,-0.469941079616547,0.195722788572311
8541.67,151.174133300781,0.518388628959656,0.195722788572311
8750.00,155.635437011719,-0.140497848391533,-0.184319660067558
8958.33,159.459396362305,-0.0823608115315437,-0.146315410733223
9166.67,166.470001220703,-0.469941079616547,-0.412345141172409
9375.00,169.019317626953,-0.256771951913834,-0.165317535400391
9583.33,174.117935180664,-0.0823608115315437,-0.108311168849468
9791.67,176.667251586914,-0.17925588786602,0.0437058098614216
10000.00,180.4912109375,0.227703422307968,0.347739785909653
10208.33,182.403198242188,-0.392425030469894,0.157718554139137
10416.67,189.413803100586,-0.373046010732651,-0.184319660067558
10625.00,197.061737060547,-0.101739823818207,0.0437058098614216
10833.33,196.424407958984,0.0726713016629219,-0.260328143835068
