Time (microseconds),V_ch1,I_ch1_f0,I_ch2_f
0.00,0.127434447407722,-0.112611450254917,-0.247908353805542
208.33,-9.4324836730957,-0.223582237958908,-0.419734567403793
416.67,-15.1684341430664,-0.269672065973282,-0.584319591522217
625.00,-18.355073928833,-0.26140820980072,-0.727850437164307
833.33,-20.2670574188232,-0.24602398276329,-0.85622626543045
1041.67,-25.3656787872314,-0.290151834487915,-0.986388683319092
1250.00,-27.2776622772217,-0.225318849086761,-1.126100897789
1458.33,-31.1016292572021,-0.146153926849365,-1.29330956935883
1666.67,-36.200252532959,-0.0804595053195953,-1.46008825302124
1875.00,-38.7495651245117,-0.0258134678006172,-1.6250331401825
2083.33,-42.5735321044922,0.0248618014156818,-1.78038489818573
2291.67,-49.5841369628906,0.0306601896882057,-1.91394424438477
2500.00,-50.2214660644531,0.0886081382632256,-2.05607867240906
2708.33,-55.9574165344238,0.12184876948595,-2.21116614341736
2916.67,-57.2320709228516,0.133795395493507,-2.36673951148987
3125.00,-60.4187126159668,0.200160130858421,-2.48686146736145
3333.33,-65.517333984375,0.168147504329681,-2.59790539741516
3541.67,-69.978630065918,0.212506234645844,-2.72425198554993
3750.00,-73.8025970458984,0.0980993062257767,-2.85182070732117
3958.33,-76.9892349243164,-0.0857819765806198,-2.98123693466187
4166.67,-78.2638931274414,-0.0401405841112137,-3.12025952339172
4375.00,-82.7251892089844,0.100405134260654,-3.25667405128479
4583.33,-87.8238067626953,0.231609523296356,-3.38924145698547
4791.67,-89.7357940673828,0.15462189912796,-3.52184271812439
5000.00,-92.2851028442383,0.0959171056747437,-3.62647271156311
5208.33,-94.8344116210938,0.248617887496948,-3.74042797088623
5416.67,-98.6583786010742,0.166941791772842,-3.88454413414001
5625.00,-101.207695007324,0.025859497487545,-4.03212928771973
5833.33,-105.031661987305,-0.0248452592641115,-4.1721510887146
6041.67,-108.855628967285,-0.16721074283123,-4.29369306564331
6250.00,-114.591575622559,-0.261826485395432,-4.41179418563843
6458.33,-114.591575622559,-0.0723751336336136,-4.55974292755127
6666.67,-119.690200805664,0.119855657219887,-4.69938278198242
6875.00,-124.151496887207,0.157907530665398,-4.81410932540894
7083.33,-126.700805664063,0.165376201272011,-4.92519187927246
7291.67,-128.61279296875,0.161853328347206,-5.04224014282227
7500.00,-131.162109375,-0.00700485706329346,-5.19639587402344
7708.33,-136.898056030273,-0.154591828584671,-5.36977672576904
7916.67,-140.722015380859,-0.0400422811508179,-5.54728651046753
8125.00,-143.908660888672,-0.0174946915358305,-5.72645998001099
8333.33,-148.36994934082,-0.0590480305254459,-5.87127065658569
8541.67,-155.380554199219,-0.154674708843231,-5.99364948272705
8750.00,-156.655212402344,-0.139385893940926,-6.13406419754028
8958.33,-159.841857910156,0.0647365227341652,-6.30623054504395
9166.67,-164.303146362305,0.0636124387383461,-6.48118209838867
9375.00,-166.215133666992,-0.0423124805092812,-6.62496185302734
9583.33,-170.039108276367,-0.142452865839005,-6.76505613327026
9791.67,-173.225738525391,-0.128786265850067,-6.90102529525757
10000.00,-177.687042236328,-0.0369749143719673,-7.04682350158691
10208.33,-181.511001586914,0.0394717380404472,-7.20816993713379
10416.67,-185.334976196289,0.141431912779808,-7.36019515991211
10625.00,-189.158935546875,0.0787624269723892,-7.50503921508789
10833.33,-195.532211303711,-0.0368675962090492,-7.66478586196899
11041.67,-197.444198608398,0.0705458670854568,-7.81389617919922
11250.00,-200.630844116211,0.0408718548715115,-7.94599390029907
11458.33,-205.729461669922,-0.0628996416926384,-8.08390522003174
11666.67,-209.553421020508,-0.143644750118256,-8.23078060150146
11875.00,-213.377395629883,-0.116800397634506,-8.37876224517822
12083.33,-216.564041137695,0.0231968015432358,-8.5184326171875
12291.67,-221.025329589844,-0.106494702398777,-8.67196083068848
12500.00,-222.299987792969,-0.184141203761101,-8.82106685638428
12708.33,-225.486618041992,-0.361017942428589,-8.96034049987793
12916.67,-229.310592651367,-0.468036949634552,-9.10129547119141
13125.00,-232.49723815918,-0.227179333567619,-9.25170230865479
13333.33,-235.683868408203,-0.233722195029259,-9.39361381530762
13541.67,-238.870513916016,-0.422287076711655,-9.50326156616211
13750.00,-241.419815063477,-0.365914762020111,-9.60462284088135
13958.33,-243.969131469727,-0.389104425907135,-9.70550441741943
14166.67,-248.430419921875,-0.496752560138702,-9.81958389282227
14375.00,-249.067749023438,-0.392677545547485,-9.96525096893311
14583.33,-254.166381835938,-0.162852600216866,-10.0877027511597
14791.67,-257.35302734375,-0.0926681011915207,-10.1700267791748
15000.00,-257.990356445313,-0.117100812494755,-10.2583351135254
15208.33,-261.176971435547,-0.113467663526535,-10.3442783355713
15416.67,-261.814300537109,-0.124576143920422,-10.4050579071045
15625.00,-265.000946044922,-0.128568515181541,-10.4763231277466
15833.33,-269.462249755859,-0.223110049962997,-10.5680503845215
16041.67,-269.462249755859,-0.0584605038166046,-10.650691986084
16250.00,-273.286224365234,0.00692140311002731,-10.7278060913086
16458.33,-273.286224365234,-0.0688942596316338,-10.8105812072754
16666.67,-277.747497558594,-0.0775209590792656,-10.8792028427124
16875.00,-275.835510253906,-0.285456120967865,-10.9526901245117
17083.33,-281.571472167969,-0.322945028543472,-11.0313949584961
17291.67,-280.296813964844,-0.212276190519333,-11.0926628112793
17500.00,-282.208801269531,-0.141466423869133,-11.1414031982422
17708.33,-282.846130371094,-0.122224621474743,-11.2015371322632
17916.67,-289.219421386719,-0.171173170208931,-11.2736415863037
18125.00,-287.307434082031,-0.176350966095924,-11.3417329788208
18333.33,-288.582092285156,-0.0602767094969749,-11.4125776290894
18541.67,-289.856750488281,-0.0806309282779694,-11.4974546432495
18750.00,-292.406036376953,-0.236916929483414,-11.5486326217651
18958.33,-292.406036376953,-0.262050300836563,-11.5621957778931
19166.67,-293.680694580078,-0.26487609744072,-11.5862216949463
19375.00,-294.955352783203,-0.104506731033325,-11.6249475479126
19583.33,-296.230010986328,0.0524435825645924,-11.6729526519775
19791.67,-303.240631103516,0.059194378554821,-11.7008152008057
20000.00,-301.328643798828,-0.0501074343919754,-11.7201099395752
20208.33,-306.42724609375,-0.250775307416916,-11.740818977356
20416.67,-301.965972900391,-0.136681616306305,-11.7922735214233
20625.00,-303.877960205078,-0.0584338344633579,-11.8455829620361
20833.33,-301.965972900391,-0.0613472685217857,-11.8797855377197
21041.67,-303.240631103516,0.0369194597005844,-11.9027881622314
21250.00,-304.515289306641,0.0722363740205765,-11.9104099273682
21458.33,-303.877960205078,0.140793234109879,-11.9253540039063
21666.67,-307.064575195313,0.0909471064805985,-11.9686069488525
21875.00,-308.339233398438,0.048204030841589,-12.0344390869141
22083.33,-310.251220703125,0.144570291042328,-12.0644216537476
22291.67,-308.9765625,0.0985116884112358,-12.0756244659424
22500.00,-318.536499023438,0.181272119283676,-12.0996227264404
22708.33,-310.251220703125,0.186187624931335,-12.1117553710938
22916.67,-310.888549804688,-0.0106733739376068,-12.1258430480957
23125.00,-307.701904296875,0.0116817895323038,-12.1654319763184
23333.33,-312.163208007813,0.0259233135730028,-12.2120819091797
23541.67,-311.52587890625,0.161391094326973,-12.2336654663086
23750.00,-314.712524414063,0.265942007303238,-12.2191534042358
23958.33,-312.163208007813,0.191789403557777,-12.1949682235718
24166.67,-312.800537109375,0.233417302370071,-12.1769189834595
24375.00,-315.987182617188,0.229756981134415,-12.1638240814209
24583.33,-314.0751953125,0.160163223743439,-12.1545906066895
24791.67,-314.0751953125,0.159979790449142,-12.1618509292603
25000.00,-315.349853515625,0.11025695502758,-12.1721525192261
25208.33,-315.987182617188,0.0551439598202705,-12.18239402771
25416.67,-314.712524414063,0.103614695370197,-12.1810913085938
25625.00,-319.173828125,0.0403425209224224,-12.196400642395
25833.33,-316.62451171875,-0.199646383523941,-12.2450180053711
26041.67,-318.536499023438,-0.118305951356888,-12.2756013870239
26250.00,-316.62451171875,0.0661054998636246,-12.2737169265747
26458.33,-316.62451171875,-0.153144508600235,-12.243971824646
26666.67,-316.62451171875,-0.169871494174004,-12.2315530776978
26875.00,-315.349853515625,-0.0765693336725235,-12.2602825164795
27083.33,-316.62451171875,-0.0368295684456825,-12.3055086135864
27291.67,-315.349853515625,0.0209026336669922,-12.316442489624
27500.00,-316.62451171875,0.0416514985263348,-12.3035736083984
27708.33,-317.899169921875,0.00565881561487913,-12.3261413574219
27916.67,-319.173828125,-0.056933805346489,-12.3405418395996
28125.00,-317.261840820313,-0.184950441122055,-12.3495464324951
28333.33,-321.72314453125,-0.10061003267765,-12.3837184906006
28541.67,-317.261840820313,0.0600511655211449,-12.4138717651367
28750.00,-318.536499023438,-0.0870421901345253,-12.4065637588501
28958.33,-317.261840820313,-0.214392676949501,-12.3825759887695
29166.67,-317.899169921875,-0.160848438739777,-12.3568105697632
29375.00,-316.62451171875,0.00115889683365822,-12.3502254486084
29583.33,-316.62451171875,-0.0833795368671417,-12.3829107284546
29791.67,-317.261840820313,-0.0703127160668373,-12.4138431549072
30000.00,-317.899169921875,0.0274901855736971,-12.4424381256104
30208.33,-319.173828125,-0.117365896701813,-12.4329710006714
30416.67,-317.899169921875,-0.206669643521309,-12.3933458328247
30625.00,-317.261840820313,-0.195315465331078,-12.3488168716431
30833.33,-317.261840820313,-0.0981280878186226,-12.3263206481934
31041.67,-315.987182617188,-0.0445777550339699,-12.312705039978
31250.00,-315.349853515625,-0.0315389595925808,-12.2965288162231
31458.33,-315.987182617188,-0.0454741753637791,-12.2794208526611
31666.67,-312.800537109375,-0.0939322635531425,-12.2212419509888
31875.00,-311.52587890625,-0.198247611522675,-12.1595621109009
32083.33,-308.9765625,-0.192288607358932,-12.1291093826294
32291.67,-310.251220703125,0.0519304871559143,-12.0815715789795
32500.00,-305.152618408203,-0.102374978363514,-12.0067529678345
32708.33,-302.603302001953,-0.387495338916779,-11.9433317184448
32916.67,-301.328643798828,-0.216854155063629,-11.8610095977783
33125.00,-297.504669189453,0.012066088616848,-11.742546081543
33333.33,-294.318023681641,0.0633041113615036,-11.6423683166504
33541.67,-293.043365478516,-0.0734588578343391,-11.5605316162109
33750.00,-290.494079589844,-0.265374898910522,-11.4791355133057
33958.33,-287.944763183594,-0.129514455795288,-11.3780422210693
34166.67,-287.307434082031,0.0620771870017052,-11.2465333938599
34375.00,-282.846130371094,-0.117349617183208,-11.134298324585
34583.33,-279.659484863281,-0.243906468153,-11.0384426116943
34791.67,-276.472839355469,-0.25214809179306,-10.9369068145752
35000.00,-274.560882568359,-0.193039000034332,-10.8286838531494
35208.33,-272.011566162109,-0.153173953294754,-10.7178688049316
35416.67,-265.000946044922,-0.213331878185272,-10.6046590805054
35625.00,-263.726287841797,-0.24736675620079,-10.4691295623779
35833.33,-264.363616943359,-0.383741140365601,-10.3266096115112
36041.67,-258.627685546875,-0.47620365023613,-10.2099390029907
36250.00,-259.902313232422,-0.242528662085533,-10.0984954833984
36458.33,-256.078369140625,-0.208203136920929,-9.98685836791992
36666.67,-254.8037109375,-0.357251524925232,-9.89370918273926
36875.00,-250.342407226563,-0.292884141206741,-9.80185604095459
37083.33,-247.793106079102,-0.269750595092773,-9.69899368286133
37291.67,-247.155776977539,-0.0938443914055824,-9.611083984375
37500.00,-243.969131469727,0.062482725828886,-9.52910137176514
37708.33,-235.683868408203,0.000731296837329865,-9.4418249130249
37916.67,-236.958526611328,0.0281948354095221,-9.348219871521
38125.00,-237.595855712891,0.118757657706738,-9.27461338043213
38333.33,-234.409210205078,-0.0411147214472294,-9.19149208068848
38541.67,-235.683868408203,-0.042708583176136,-9.08808422088623
38750.00,-229.310592651367,0.0994822010397911,-9.0111608505249
38958.33,-229.310592651367,0.10713554918766,-8.93574142456055
39166.67,-228.035934448242,0.0850577056407928,-8.83658409118652
39375.00,-224.84928894043,-0.0780548825860024,-8.73199558258057
39583.33,-222.299987792969,-0.0808132737874985,-8.63818264007568
39791.67,-218.476013183594,0.0671660900115967,-8.53638172149658
40000.00,-208.916107177734,0.0893140807747841,-8.42934989929199
40208.33,-211.465408325195,0.202794969081879,-8.31461048126221
40416.67,-208.916107177734,0.0946091040968895,-8.18269348144531
40625.00,-203.180145263672,0.00607035867869854,-8.02771663665771
40833.33,-200.630844116211,-0.00712899537757039,-7.89809417724609
41041.67,-195.532211303711,0.000541407847777009,-7.78257608413696
41250.00,-196.169540405273,0.0715763866901398,-7.64204120635986
41458.33,-190.43359375,-0.0766929313540459,-7.50063848495483
41666.67,-189.158935546875,-0.0182526521384716,-7.34550905227661
41875.00,-181.511001586914,0.0524075999855995,-7.18415260314941
42083.33,-177.687042236328,-0.0401323661208153,-7.03642654418945
42291.67,-178.324356079102,0.0321298390626907,-6.89771032333374
42500.00,-171.313751220703,0.033272311091423,-6.77881145477295
42708.33,-173.225738525391,0.0709255933761597,-6.65669202804565
42916.67,-166.215133666992,0.183771938085556,-6.49784803390503
43125.00,-159.841857910156,0.149843394756317,-6.32013320922852
43333.33,-157.292541503906,0.063164159655571,-6.16446542739868
43541.67,-153.46858215332,0.0133904311805964,-6.014817237854
43750.00,-148.36994934082,0.0203302837908268,-5.85278415679932
43958.33,-148.36994934082,-0.020625339820981,-5.70156002044678
44166.67,-143.271331787109,-0.178108334541321,-5.56750822067261
44375.00,-140.084686279297,-0.104358091950417,-5.41917514801025
44583.33,-136.260726928711,0.126982361078262,-5.2540488243103
44791.67,-130.524780273438,0.0735692754387856,-5.11432600021362
45000.00,-131.162109375,-0.0635624676942825,-4.97295618057251
45208.33,-121.602188110352,-0.131468743085861,-4.83078145980835
45416.67,-119.052871704102,-0.304844886064529,-4.69791507720947
45625.00,-116.503562927246,-0.367155998945236,-4.53344488143921
45833.33,-112.042266845703,-0.209544211626053,-4.34047698974609
46041.67,-106.30632019043,-0.159105896949768,-4.17645263671875
46250.00,-105.031661987305,-0.0727001950144768,-4.03272199630737
46458.33,-97.3837280273438,-0.023024782538414,-3.88549304008484
46666.67,-99.2957077026367,-0.129313781857491,-3.72928619384766
46875.00,-92.2851028442383,-0.105442747473717,-3.55544543266296
47083.33,-85.9118270874023,-0.0161710605025291,-3.38469004631042
47291.67,-82.7251892089844,-0.0337438657879829,-3.23042893409729
47500.00,-75.0772552490234,-0.0214381627738476,-3.0777735710144
47708.33,-74.4399261474609,-0.165986225008965,-2.93234658241272
47916.67,-69.978630065918,-0.286214858293533,-2.80652618408203
48125.00,-64.8800048828125,-0.329424828290939,-2.66364741325378
48333.33,-62.330696105957,-0.419439792633057,-2.48633146286011
48541.67,-57.8694000244141,-0.389719903469086,-2.30446529388428
48750.00,-53.4081039428711,-0.410074174404144,-2.1327531337738
48958.33,-47.6721534729004,-0.38635390996933,-1.97976171970367
49166.67,-43.8481864929199,-0.346793293952942,-1.8189457654953
49375.00,-40.0242195129395,-0.233261466026306,-1.65161454677582
49583.33,-36.8375816345215,-0.117972940206528,-1.50482714176178
49791.67,-31.1016292572021,-0.132402434945107,-1.35405445098877
50000.00,-29.1896457672119,-0.137588366866112,-1.2146760225296
50208.33,-25.3656787872314,-0.0215170364826918,-1.08942079544067
50416.67,-22.1790409088135,-0.0294580943882465,-0.965733170509338
50625.00,-18.9924011230469,0.0235519297420979,-0.842058718204498
50833.33,-17.7177448272705,0.11708901822567,-0.702600061893463
51041.67,-13.2564506530762,-0.165856689214706,-0.545677959918976
51250.00,-6.88317203521729,-0.199268698692322,-0.407076954841614
51458.33,-3.69653272628784,-0.180241346359253,-0.273206204175949
51666.67,-1.78454911708832,-0.229266986250877,-0.144426256418228
51875.00,3.95140147209167,-0.048259075731039,-0.0153262764215469
52083.33,5.86338520050049,-0.0266549102962017,0.138482078909874
52291.67,10.962007522583,-0.000269065611064434,0.301489233970642
52500.00,12.8739910125732,0.251291394233704,0.452177613973618
52708.33,17.3352870941162,0.236180901527405,0.582861959934235
52916.67,21.7965812683105,0.14385062456131,0.722338616847992
53125.00,26.2578754425049,0.0485961325466633,0.902253806591034
53333.33,30.081844329834,-0.0849519968032837,1.09442090988159
53541.67,33.9058113098145,0.0222288500517607,1.25483322143555
53750.00,33.9058113098145,0.153856188058853,1.39881479740143
53958.33,40.2790908813477,0.288062423467636,1.55345571041107
54166.67,43.4657287597656,0.292846143245697,1.71795070171356
54375.00,47.2896957397461,0.22628715634346,1.87145042419434
54583.33,51.7509918212891,0.134087711572647,2.02914619445801
54791.67,56.2122840881348,0.0761229246854782,2.18928480148315
55000.00,60.6735801696777,0.191846951842308,2.33875751495361
55208.33,64.4975509643555,0.221023797988892,2.47406196594238
55416.67,67.6841888427734,-0.00436042994260788,2.60632133483887
55625.00,69.5961685180664,-0.0915702879428864,2.73863792419434
55833.33,74.6947937011719,0.0819213762879372,2.88967561721802
56041.67,75.9694519042969,-0.03573227673769,3.03432512283325
56250.00,79.1560897827148,-0.121466614305973,3.13716864585876
56458.33,82.9800567626953,-0.115036725997925,3.24588251113892
56666.67,84.2547073364258,-0.0692760273814201,3.36720299720764
56875.00,89.9906616210938,-0.0404154732823372,3.49658727645874
57083.33,91.9026412963867,-0.210049346089363,3.64635038375854
57291.67,97.0012664794922,-0.153080344200134,3.79412984848022
57500.00,98.2759246826172,0.0846432223916054,3.91494488716125
57708.33,100.825233459473,-0.00992558710277081,4.01585960388184
57916.67,100.18790435791,-0.12460595369339,4.1113018989563
