Time (microseconds),V_ch1,I_ch1_f0,I_ch2_f
0.00,2.67674589157104,-2.22719788551331,-0.0405649393796921
208.33,3.95140147209167,-1.97669959068298,0.0907382294535637
416.67,6.50071287155151,-1.72528576850891,0.245147243142128
625.00,10.962007522583,-1.60389256477356,0.402247548103333
833.33,13.5113191604614,-1.46095013618469,0.556091666221619
1041.67,18.6099414825439,-1.21715641021729,0.712669730186462
1250.00,20.5219249725342,-0.949530959129334,0.881827354431152
1458.33,26.2578754425049,-0.822311282157898,1.03676533699036
1666.67,30.7191715240479,-0.602789521217346,1.17640423774719
1875.00,31.9938278198242,-0.13905268907547,1.32056868076324
2083.33,37.0924491882324,0.251069664955139,1.46173644065857
2291.67,39.6417617797852,0.800948560237885,1.5907998085022
2500.00,43.4657287597656,1.22203016281128,1.6979033946991
2708.33,48.5643501281738,1.36715924739838,1.82635164260864
2916.67,50.4763336181641,1.59932470321655,1.97165930271149
3125.00,54.3003005981445,2.10484838485718,2.12609004974365
3333.33,55.5749588012695,2.55343866348267,2.26741409301758
3541.67,66.4095306396484,2.82638931274414,2.38585186004639
3750.00,66.4095306396484,2.80655241012573,2.48241472244263
3958.33,68.3215179443359,2.65045213699341,2.58532238006592
4166.67,70.2334976196289,2.86125564575195,2.71204590797424
4375.00,73.4201354980469,2.9928822517395,2.84714293479919
4583.33,75.9694519042969,3.01536011695862,2.97490239143372
4791.67,80.4307403564453,3.0234386920929,3.08941674232483
5000.00,81.0680694580078,2.95185661315918,3.22112560272217
5208.33,87.4413528442383,3.03785848617554,3.36011338233948
5416.67,88.0786743164063,3.1184241771698,3.50152158737183
5625.00,93.1772994995117,3.02323722839355,3.63870549201965
5833.33,103.374549865723,3.10696220397949,3.75403380393982
6041.67,103.374549865723,3.17429542541504,3.84556841850281
6250.00,105.286529541016,3.04952430725098,3.95459818840027
6458.33,107.198516845703,2.88674664497375,4.08698081970215
6666.67,107.198516845703,2.81583023071289,4.20505094528198
6875.00,112.297134399414,2.89586400985718,4.34579086303711
7083.33,116.758430480957,2.88738536834717,4.49815320968628
7291.67,118.033088684082,2.8284740447998,4.61674308776855
7500.00,122.494384765625,2.91902947425842,4.72852468490601
7708.33,124.406364440918,3.23089504241943,4.86273336410522
7916.67,130.142318725586,3.20021533966064,5.02126455307007
8125.00,137.790252685547,3.12711811065674,5.16925096511841
8333.33,138.427581787109,3.1691255569458,5.29169368743896
8541.67,137.790252685547,3.11594438552856,5.4120626449585
8750.00,144.163528442383,3.09062385559082,5.56067180633545
8958.33,146.712844848633,3.13738822937012,5.72677135467529
9166.67,151.174133300781,3.17281651496887,5.9004225730896
9375.00,156.272750854492,3.00554299354553,6.05233478546143
9583.33,158.18473815918,2.95783948898315,6.16978979110718
9791.67,162.646041870117,2.99655890464783,6.31211519241333
10000.00,162.646041870117,3.10978841781616,6.46666145324707
10208.33,171.568618774414,3.11324024200439,6.62317085266113
10416.67,170.931304931641,3.0648238658905,6.77216005325317
10625.00,179.216552734375,3.07845878601074,6.93430280685425
10833.33,179.853881835938,2.96542406082153,7.08706378936768
11041.67,185.58984375,2.96824908256531,7.21966457366943
11250.00,188.776473999023,2.97547149658203,7.37240076065063
11458.33,192.600448608398,2.85392475128174,7.52651882171631
11666.67,195.149749755859,2.84748387336731,7.68335008621216
