Time (microseconds),V_ch1,V_ch2,V_ch3,I_ch1_f,I_ch2_f,I_ch3_f
0.00,1.40209019184113,-78.3594284057617,86.3898239135742,-0.596467673778534,-4.31513357162476,4.61802291870117
208.33,0.764762282371521,-81.5460662841797,85.1151657104492,-0.507822096347809,-4.34114408493042,4.58609056472778
416.67,5.86338520050049,-80.9087371826172,81.2911987304688,-0.394388616085052,-4.39821767807007,4.51564455032349
625.00,6.50071287155151,-83.4580535888672,84.4778366088867,-0.296117842197418,-4.48113489151001,4.45411205291748
833.33,9.68735218048096,-85.3700332641602,81.9285278320313,-0.211131647229195,-4.53983545303345,4.4065637588501
1041.67,10.962007522583,-81.5460662841797,80.0165405273438,-0.106206804513931,-4.58189392089844,4.37122488021851
1250.00,12.8739910125732,-84.7327041625977,81.9285278320313,-0.00921136140823364,-4.65093040466309,4.35435342788696
1458.33,14.7859754562378,-86.6446914672852,79.3792114257813,0.0855797231197357,-4.754958152771,4.31362628936768
1666.67,17.3352870941162,-87.9193420410156,77.4672317504883,0.186387866735458,-4.83820056915283,4.25946235656738
1875.00,16.6979579925537,-88.5566711425781,76.8299026489258,0.28397125005722,-4.89002132415771,4.20005798339844
2083.33,21.1592540740967,-83.4580535888672,74.9179229736328,0.39175420999527,-4.94223403930664,4.12862825393677
2291.67,22.4339084625244,-86.6446914672852,75.5552444458008,0.495053082704544,-4.98762893676758,4.0748028755188
2500.00,24.3458919525146,-91.1059875488281,74.2805938720703,0.592009902000427,-5.00661659240723,4.02791738510132
2708.33,26.2578754425049,-89.8313293457031,71.7312774658203,0.694820165634155,-5.00765514373779,3.97308683395386
2916.67,28.8071880340576,-92.3806381225586,72.3686065673828,0.808167219161987,-5.03302812576294,3.90588569641113
3125.00,31.3564987182617,-93.0179672241211,71.0939559936523,0.910751640796661,-5.08663988113403,3.83945512771606
3333.33,31.3564987182617,-93.6552963256836,66.6326599121094,0.99459969997406,-5.13045597076416,3.79958510398865
3541.67,35.1804656982422,-93.0179672241211,68.5446395874023,1.0852917432785,-5.16090822219849,3.74549579620361
3750.00,35.8177947998047,-94.9299545288086,67.2699890136719,1.17352366447449,-5.17900705337524,3.67826175689697
3958.33,37.7297782897949,-94.2926254272461,64.0833435058594,1.26533925533295,-5.1856861114502,3.61754465103149
4166.67,39.0044326782227,-94.2926254272461,65.3580017089844,1.38389992713928,-5.20622062683105,3.55495405197144
4375.00,41.5537452697754,-91.7433166503906,64.0833435058594,1.50228786468506,-5.22161340713501,3.49278545379639
4583.33,44.1030578613281,-93.6552963256836,58.9847221374512,1.60001277923584,-5.24876689910889,3.43244290351868
4791.67,44.7403831481934,-98.1165924072266,58.9847221374512,1.70499753952026,-5.3011531829834,3.36804461479187
5000.00,45.3777122497559,-96.8419342041016,58.9847221374512,1.81815791130066,-5.33234786987305,3.28481841087341
5208.33,48.5643501281738,-98.1165924072266,55.7980842590332,1.91617631912231,-5.34395265579224,3.21290802955627
5416.67,48.5643501281738,-98.1165924072266,55.7980842590332,2.00459051132202,-5.36545085906982,3.14858603477478
5625.00,51.7509918212891,-96.8419342041016,55.1607551574707,2.08705520629883,-5.38676071166992,3.07907271385193
5833.33,53.0256462097168,-98.1165924072266,53.2487716674805,2.17207503318787,-5.39927959442139,3.00476050376892
6041.67,54.937629699707,-100.665901184082,51.9741172790527,2.27117300033569,-5.41444253921509,2.93175625801086
6250.00,56.8496131896973,-96.8419342041016,50.0621337890625,2.37815928459167,-5.43061351776123,2.85780692100525
6458.33,60.0362510681152,-98.7539215087891,48.7874794006348,2.46241521835327,-5.44771671295166,2.77723979949951
6666.67,60.6735801696777,-94.2926254272461,47.5128211975098,2.54176831245422,-5.44916725158691,2.69270896911621
6875.00,64.4975509643555,-98.7539215087891,45.6008377075195,2.63782429695129,-5.43112182617188,2.60451412200928
7083.33,61.3109092712402,-100.665901184082,42.4141998291016,2.74565982818604,-5.41515779495239,2.51795840263367
7291.67,64.4975509643555,-97.4792633056641,42.4141998291016,2.85047173500061,-5.41260671615601,2.41927528381348
7500.00,66.4095306396484,-98.1165924072266,41.1395454406738,2.92246627807617,-5.40306806564331,2.33235788345337
7708.33,68.3215179443359,-99.3912506103516,37.9529037475586,3.00220060348511,-5.39425039291382,2.25847148895264
7916.67,69.5961685180664,-98.7539215087891,37.9529037475586,3.09568023681641,-5.40476703643799,2.17006421089172
8125.00,68.9588394165039,-98.7539215087891,35.4035949707031,3.18355965614319,-5.41664361953735,2.07397770881653
8333.33,73.4201354980469,-99.3912506103516,34.7662658691406,3.25234961509705,-5.40679979324341,1.9722284078598
8541.67,74.6947937011719,-96.8419342041016,29.6676425933838,3.31960248947144,-5.36754369735718,1.89683699607849
8750.00,75.9694519042969,-103.8525390625,29.6676425933838,3.39861440658569,-5.357102394104,1.82570707798004
8958.33,77.2441024780273,-99.3912506103516,30.3049697875977,3.47678136825562,-5.35463047027588,1.73266792297363
9166.67,77.2441024780273,-95.5672836303711,27.1183319091797,3.55416679382324,-5.32506084442139,1.64737796783447
9375.00,79.1560897827148,-100.665901184082,26.4810028076172,3.62497186660767,-5.30131578445435,1.56350743770599
9583.33,81.0680694580078,-94.9299545288086,23.9316921234131,3.70433878898621,-5.27290296554565,1.47161483764648
9791.67,82.3427276611328,-95.5672836303711,21.3823795318604,3.75500774383545,-5.25166320800781,1.37876868247986
10000.00,82.9800567626953,-94.9299545288086,20.7450523376465,3.81209921836853,-5.23346519470215,1.28360486030579
10208.33,84.8920364379883,-94.2926254272461,18.1957416534424,3.88977289199829,-5.19581985473633,1.18127250671387
10416.67,82.9800567626953,-94.2926254272461,16.921085357666,3.96084427833557,-5.15383911132813,1.07733941078186
10625.00,87.4413528442383,-95.5672836303711,15.646430015564,4.05510282516479,-5.1315450668335,0.964028358459473
10833.33,88.0786743164063,-91.7433166503906,12.4597902297974,4.14882850646973,-5.09585809707642,0.847074210643768
11041.67,89.3533325195313,-93.6552963256836,11.1851348876953,4.21350288391113,-5.04419946670532,0.737522542476654
