Time (microseconds),V_ch1,V_ch2,V_ch3,I_ch1_f,I_ch2_f,I_ch3_f
0.00,1.40209019184113,-95.5672836303711,95.3124084472656,-0.264328688383102,-0.85693359375,0.95821213722229
208.33,1.40209019184113,-96.8419342041016,92.1257705688477,-0.243254423141479,-0.886520385742188,0.952989935874939
416.67,3.95140147209167,-101.303230285645,93.4004287719727,-0.215717971324921,-0.913871288299561,0.961086690425873
625.00,7.1380410194397,-108.951164245605,90.2137908935547,-0.206372141838074,-0.908998608589172,0.977187693119049
833.33,10.3246803283691,-103.8525390625,89.5764617919922,-0.194071307778358,-0.921726524829865,1.00930428504944
1041.67,13.5113191604614,-103.8525390625,87.6644744873047,-0.168054953217506,-0.963649153709412,1.03253161907196
1250.00,15.4233026504517,-113.412460327148,85.7524948120117,-0.159382089972496,-0.981581211090088,1.05687570571899
1458.33,17.3352870941162,-105.764526367188,85.7524948120117,-0.14404208958149,-0.968719482421875,1.08584213256836
1666.67,21.1592540740967,-109.588493347168,86.3898239135742,-0.124735571444035,-0.979088187217712,1.10974752902985
1875.00,28.1698589324951,-112.775131225586,83.8405075073242,-0.122997730970383,-1.00375163555145,1.10456168651581
2083.33,26.2578754425049,-109.588493347168,82.5658569335938,-0.123587988317013,-1.02511513233185,1.08397150039673
2291.67,28.8071880340576,-112.137802124023,80.6538696289063,-0.116078823804855,-1.02763187885284,1.08073365688324
2500.00,30.7191715240479,-113.412460327148,78.7418899536133,-0.0996178090572357,-1.02995836734772,1.08492064476013
2708.33,30.7191715240479,-115.324440002441,77.4672317504883,-0.0953846350312233,-1.05077743530273,1.08591914176941
2916.67,34.5431365966797,-117.873756408691,76.8299026489258,-0.0980616733431816,-1.07002317905426,1.09186828136444
3125.00,37.0924491882324,-117.873756408691,79.3792114257813,-0.0895525589585304,-1.07345414161682,1.11531829833984
3333.33,40.2790908813477,-117.873756408691,75.5552444458008,-0.0758284479379654,-1.04934120178223,1.14130425453186
3541.67,41.5537452697754,-120.423065185547,74.2805938720703,-0.0895027294754982,-1.0500271320343,1.14306783676147
3750.00,45.3777122497559,-120.423065185547,72.3686065673828,-0.108733922243118,-1.05209720134735,1.12172162532806
3958.33,47.2896957397461,-124.247032165527,72.3686065673828,-0.118456952273846,-1.05113875865936,1.104860663414
4166.67,46.6523666381836,-126.159019470215,72.3686065673828,-0.119390368461609,-1.05599689483643,1.09573602676392
4375.00,51.7509918212891,-122.972373962402,71.0939559936523,-0.107072629034519,-1.04899966716766,1.08873701095581
4583.33,54.3003005981445,-125.521690368652,68.5446395874023,-0.119850225746632,-1.05042934417725,1.07077872753143
4791.67,53.6629753112793,-124.88436126709,67.9073104858398,-0.135323479771614,-1.02949249744415,1.03407311439514
5000.00,54.937629699707,-124.88436126709,67.2699890136719,-0.137179031968117,-1.00798392295837,1.01234769821167
5208.33,56.8496131896973,-129.345657348633,67.2699890136719,-0.115462139248848,-1.03189969062805,0.990110039710999
5416.67,58.124267578125,-127.433670043945,64.0833435058594,-0.0785445496439934,-1.062624335289,0.951602578163147
5625.00,58.124267578125,-128.70832824707,65.3580017089844,-0.0597942806780338,-1.07307660579681,0.920313358306885
5833.33,59.39892578125,-128.70832824707,65.3580017089844,-0.049051322042942,-1.06119847297668,0.884208559989929
6041.67,61.3109092712402,-128.070999145508,64.0833435058594,-0.0376557148993015,-1.05955219268799,0.844370126724243
6250.00,61.9482345581055,-129.345657348633,64.0833435058594,0.00363347306847572,-1.06521046161652,0.796054124832153
6458.33,60.0362510681152,-129.982986450195,64.0833435058594,0.0842732265591621,-1.03525841236115,0.745645344257355
6666.67,62.585563659668,-129.345657348633,63.4460182189941,0.146370500326157,-0.997517704963684,0.718432486057281
6875.00,63.2228927612305,-129.345657348633,63.4460182189941,0.193523362278938,-0.96765524148941,0.679633855819702
7083.33,63.2228927612305,-114.687118530273,43.6888542175293,0.251757919788361,-0.955845952033997,0.652383506298065
7291.67,67.6841888427734,-126.159019470215,50.0621337890625,0.304859310388565,-0.957135319709778,0.613550186157227
7500.00,70.2334976196289,-126.159019470215,50.699462890625,0.346625149250031,-0.948275089263916,0.5611372590065
