Time (microseconds),V_ch1
0.00,4.61656093597412
208.33,8.46372127532959
416.67,14.2344617843628
625.00,16.1580429077148
833.33,20.0052032470703
1041.67,23.8523635864258
1250.00,30.2642974853516
1458.33,34.111457824707
1666.67,36.6762313842773
1875.00,41.1645851135254
2083.33,43.7293586730957
2291.67,47.5765190124512
2500.00,54.6296463012695
2708.33,57.1944198608398
2916.67,59.7591934204102
3125.00,66.8123168945313
3333.33,69.3770904541016
3541.67,73.224250793457
3750.00,77.0714111328125
3958.33,80.2773818969727
4166.67,85.4069290161133
4375.00,91.8188629150391
4583.33,91.1776657104492
4791.67,98.2307968139648
5000.00,101.43675994873
5208.33,104.001533508301
5416.67,111.054664611816
5625.00,112.978240966797
5833.33,114.901824951172
6041.67,120.031372070313
6250.00,123.237335205078
6458.33,128.366882324219
6666.67,135.420013427734
6875.00,137.343597412109
7083.33,141.19075012207
7291.67,150.167465209961
7500.00,148.885070800781
7708.33,154.014617919922
7916.67,157.861785888672
8125.00,159.144165039063
8333.33,166.197296142578
8541.67,166.838485717773
8750.00,172.609222412109
8958.33,173.891616821289
9166.67,181.5859375
9375.00,182.868316650391
9583.33,193.768615722656
9791.67,191.845031738281
10000.00,195.692184448242
10208.33,199.539352416992
10416.67,200.180541992188
10625.00,204.668899536133
10833.33,209.798446655273
11041.67,213.004409790039
11250.00,217.492767333984
11458.33,222.622314453125
11666.67,225.187088012695
11875.00,227.751861572266
12083.33,231.599014282227
12291.67,234.163787841797
12500.00,238.652145385742
12708.33,243.781692504883
12916.67,246.987655639648
13125.00,250.834823608398
13333.33,252.758407592773
13541.67,254.681976318359
13750.00,258.529144287109
13958.33,264.299896240234
14166.67,263.65869140625
14375.00,269.429443359375
14583.33,271.352996826172
14791.67,280.329711914063
15000.00,277.764953613281
15208.33,280.329711914063
15416.67,286.741638183594
15625.00,288.024047851563
15833.33,289.947631835938
16041.67,293.153594970703
16250.00,295.077178955078
16458.33,293.794769287109
16666.67,299.565521240234
16875.00,300.847900390625
17083.33,305.977447509766
17291.67,303.412689208984
17500.00,306.61865234375
17708.33,308.542236328125
17916.67,311.106994628906
18125.00,309.183410644531
18333.33,313.671783447266
18541.67,317.518920898438
18750.00,317.518920898438
18958.33,318.801330566406
19166.67,319.442504882813
19375.00,323.930877685547
19583.33,320.083709716797
19791.67,322.648468017578
20000.00,323.930877685547
20208.33,323.930877685547
20416.67,322.007293701172
20625.00,327.778015136719
20833.33,325.213256835938
21041.67,327.778015136719
21250.00,329.060424804688
21458.33,329.701599121094
21666.67,330.984008789063
21875.00,331.625183105469
22083.33,334.189971923828
22291.67,332.266387939453
22500.00,331.625183105469
22708.33,332.907562255859
22916.67,334.831146240234
23125.00,332.266387939453
23333.33,334.831146240234
23541.67,335.472351074219
23750.00,336.754730224609
23958.33,336.754730224609
24166.67,336.754730224609
24375.00,336.754730224609
24583.33,335.472351074219
24791.67,337.395935058594
25000.00,336.754730224609
25208.33,338.037109375
25416.67,341.88427734375
25625.00,338.037109375
25833.33,339.960693359375
26041.67,338.037109375
26250.00,339.319519042969
26458.33,339.319519042969
26666.67,338.678314208984
26875.00,339.319519042969
27083.33,341.88427734375
27291.67,338.678314208984
27500.00,338.037109375
27708.33,341.88427734375
27916.67,341.88427734375
28125.00,341.88427734375
28333.33,341.243103027344
28541.67,341.243103027344
28750.00,342.525482177734
28958.33,341.243103027344
29166.67,342.525482177734
29375.00,343.166656494141
29583.33,343.166656494141
29791.67,343.166656494141
30000.00,344.449066162109
30208.33,344.449066162109
30416.67,344.449066162109
30625.00,343.807861328125
30833.33,342.525482177734
31041.67,343.166656494141
31250.00,342.525482177734
31458.33,340.601898193359
31666.67,338.037109375
31875.00,339.319519042969
32083.33,332.907562255859
32291.67,332.907562255859
32500.00,330.984008789063
32708.33,327.778015136719
32916.67,326.495635986328
33125.00,324.572052001953
33333.33,315.595367431641
33541.67,320.083709716797
33750.00,316.236541748047
33958.33,313.030578613281
34166.67,312.389373779297
34375.00,308.542236328125
34583.33,307.259826660156
34791.67,302.130279541016
35000.00,300.847900390625
35208.33,298.283142089844
35416.67,296.359558105469
35625.00,288.665222167969
35833.33,290.588806152344
36041.67,288.024047851563
36250.00,283.535675048828
36458.33,280.329711914063
36666.67,279.047332763672
36875.00,273.917785644531
37083.33,271.352996826172
37291.67,270.070617675781
37500.00,264.941070556641
37708.33,264.941070556641
37916.67,257.246765136719
38125.00,258.529144287109
38333.33,253.399597167969
38541.67,250.834823608398
38750.00,246.987655639648
38958.33,244.422882080078
39166.67,239.934539794922
39375.00,237.369766235352
39583.33,234.163787841797
39791.67,227.751861572266
