Time (microseconds),V_ch1,I_ch2
0.00,0.764762282371521,1.63988411426544
208.33,3.95140147209167,1.71589267253876
416.67,8.41269683837891,1.94391810894012
625.00,7.1380410194397,2.47597742080688
833.33,12.8739910125732,2.49497961997986
1041.67,17.3352870941162,3.00803685188293
1250.00,23.7085647583008,2.24795198440552
1458.33,22.4339084625244,2.47597742080688
1666.67,26.8952045440674,2.78001141548157
1875.00,32.6311531066895,3.00803685188293
2083.33,34.5431365966797,3.46408796310425
2291.67,37.7297782897949,3.54009652137756
2500.00,41.5537452697754,3.16005396842957
2708.33,47.9270248413086,3.54009652137756
2916.67,46.6523666381836,3.84413027763367
3125.00,53.6629753112793,3.76812195777893
3333.33,54.937629699707,4.07215595245361
3541.67,60.6735801696777,4.4902024269104
3750.00,61.3109092712402,4.37618970870972
3958.33,66.4095306396484,3.9961473941803
4166.67,72.1454849243164,4.1101598739624
4375.00,73.4201354980469,4.22417259216309
4583.33,77.2441024780273,4.60421514511108
4791.67,79.7934188842773,4.851243019104
5000.00,85.5293655395508,5.13627481460571
5208.33,87.4413528442383,5.59232568740845
5416.67,89.3533325195313,5.21228313446045
5625.00,93.1772994995117,5.30729389190674
5833.33,97.6385955810547,5.59232568740845
6041.67,103.374549865723,5.5543212890625
6250.00,105.286529541016,5.89635944366455
6458.33,106.561187744141,6.50442743301392
6666.67,111.022483825684,6.52342987060547
6875.00,114.209121704102,6.35241079330444
7083.33,119.307739257813,5.97236824035645
7291.67,119.945068359375,6.42841911315918
7500.00,124.406364440918,6.67544651031494
7708.33,128.867660522461,7.07449102401733
7916.67,133.328948974609,7.41652965545654
8125.00,137.152923583984,7.07449102401733
8333.33,142.888870239258,7.6825590133667
8541.67,146.07551574707,7.3785252571106
8750.00,148.624816894531,7.87258052825928
8958.33,152.448791503906,7.98659324645996
9166.67,156.910079956055,8.48064804077148
9375.00,161.371383666992,8.4426441192627
9583.33,164.558013916016,8.59466075897217
9791.67,167.744659423828,8.49965000152588
10000.00,172.205947875977,8.34763336181641
10208.33,176.667251586914,8.63266563415527
10416.67,181.765869140625,8.49965000152588
10625.00,186.227172851563,9.50676250457764
10833.33,186.864501953125,9.69678401947021
11041.67,193.237777709961,9.69678401947021
11250.00,195.787078857422,9.08871650695801
11458.33,198.336395263672,9.54476737976074
11666.67,202.79768371582,9.8107967376709
11875.00,205.984329223633,9.54476737976074
12083.33,211.720275878906,10.1718368530273
12291.67,212.994934082031,10.1148309707642
12500.00,216.818908691406,9.848801612854
12708.33,219.368209838867,9.8107967376709
12916.67,222.55485534668,10.3238544464111
13125.00,222.55485534668,10.7609033584595
13333.33,229.565460205078,10.5708818435669
13541.67,232.752105712891,10.4568691253662
13750.00,234.664077758789,10.6088857650757
13958.33,239.125381469727,10.7799053192139
14166.67,241.674682617188,10.4568691253662
14375.00,245.498657226563,10.9129199981689
14583.33,246.135986328125,11.0649366378784
14791.67,249.322616577148,11.3689708709717
15000.00,250.597274780273,11.3309669494629
15208.33,254.421249389648,10.7799053192139
15416.67,254.421249389648,11.0269327163696
15625.00,260.157196044922,10.7609033584595
15833.33,262.069183349609,11.2169542312622
16041.67,265.893157958984,11.3689708709717
16250.00,268.442474365234,11.2169542312622
16458.33,268.442474365234,11.3879728317261
16666.67,273.541076660156,11.0649366378784
16875.00,272.266418457031,11.6350011825562
17083.33,274.815734863281,11.3689708709717
17291.67,274.178405761719,11.5399904251099
17500.00,278.002380371094,11.4829835891724
17708.33,278.639709472656,12.1290559768677
17916.67,281.826354980469,11.3879728317261
18125.00,283.738342285156,11.2359561920166
18333.33,284.375640869141,11.9390344619751
18541.67,285.012969970703,11.8250217437744
18750.00,286.924957275391,11.9770393371582
18958.33,284.375640869141,12.0910520553589
19166.67,288.199615478516,12.3950853347778
19375.00,292.023590087891,11.5399904251099
19583.33,289.474273681641,11.5399904251099
19791.67,294.572906494141,12.1480579376221
20000.00,293.935577392578,12.0910520553589
20208.33,297.759552001953,12.0910520553589
20416.67,297.759552001953,12.2810726165771
20625.00,297.759552001953,12.3950853347778
20833.33,298.396881103516,12.2430686950684
21041.67,299.671508789063,11.8250217437744
21250.00,293.935577392578,11.9770393371582
21458.33,300.946166992188,12.3950853347778
21666.67,301.58349609375,12.4330902099609
21875.00,302.220825195313,12.6041088104248
22083.33,304.770141601563,12.4330902099609
22291.67,304.770141601563,12.2430686950684
22500.00,306.68212890625,11.6730051040649
22708.33,306.68212890625,12.3950853347778
22916.67,307.319458007813,12.3950853347778
23125.00,305.407470703125,11.9390344619751
23333.33,308.594116210938,11.9390344619751
23541.67,308.594116210938,12.7371234893799
23750.00,311.143432617188,11.9390344619751
23958.33,313.055419921875,12.2810726165771
24166.67,309.2314453125,12.2430686950684
24375.00,311.143432617188,12.4520921707153
24583.33,311.78076171875,12.6041088104248
24791.67,311.78076171875,12.5851068496704
25000.00,311.78076171875,12.2430686950684
25208.33,311.143432617188,11.6730051040649
25416.67,311.78076171875,12.1290559768677
25625.00,313.692749023438,12.1290559768677
25833.33,314.330078125,11.9390344619751
26041.67,316.879364013672,12.3950853347778
26250.00,313.055419921875,11.9770393371582
26458.33,316.879364013672,12.2430686950684
26666.67,314.967407226563,12.2430686950684
26875.00,316.242034912109,12.1290559768677
27083.33,316.242034912109,12.4330902099609
27291.67,317.516693115234,12.5851068496704
27500.00,315.604705810547,12.4330902099609
27708.33,316.879364013672,12.7371234893799
27916.67,316.242034912109,12.1480579376221
28125.00,315.604705810547,12.2810726165771
28333.33,317.516693115234,12.4330902099609
28541.67,313.692749023438,12.7371234893799
