Time (microseconds),V_ch1,I_ch2_f
0.00,2.03941798210144,0.0513832867145538
208.33,5.86338520050049,0.200868248939514
416.67,9.68735218048096,0.355570673942566
625.00,12.2366638183594,0.498581916093826
833.33,14.7859754562378,0.625041365623474
1041.67,20.5219249725342,0.775690734386444
1250.00,17.9726142883301,0.942957758903503
1458.33,26.2578754425049,1.10979032516479
1666.67,31.9938278198242,1.27047717571259
1875.00,33.9058113098145,1.41758453845978
2083.33,39.0044326782227,1.57080698013306
2291.67,42.8283996582031,1.73686265945435
2500.00,47.9270248413086,1.91190969944
2708.33,51.7509918212891,2.07947206497192
2916.67,54.3003005981445,2.22144722938538
3125.00,58.124267578125,2.34982085227966
3333.33,61.9482345581055,2.48428916931152
3541.67,67.0468597412109,2.60715961456299
3750.00,70.2334976196289,2.73654079437256
3958.33,72.1454849243164,2.8805570602417
4166.67,75.3321228027344,3.0029194355011
4375.00,79.7934188842773,3.13613891601563
4583.33,83.6173858642578,3.2829852104187
4791.67,84.2547073364258,3.40437364578247
5000.00,89.3533325195313,3.51802468299866
5208.33,92.5399703979492,3.6345751285553
5416.67,95.0892868041992,3.77391028404236
5625.00,100.18790435791,3.93430805206299
5833.33,100.18790435791,4.06894207000732
6041.67,105.286529541016,4.18478536605835
6250.00,107.198516845703,4.30838823318481
6458.33,113.571792602539,4.43126630783081
6666.67,117.39575958252,4.56209087371826
6875.00,118.670417785645,4.7067232131958
7083.33,123.769035339355,4.84329748153687
7291.67,125.04369354248,4.96596050262451
7500.00,128.867660522461,5.10376644134521
7708.33,132.054306030273,5.2469539642334
7916.67,135.878265380859,5.38075637817383
8125.00,138.427581787109,5.52957773208618
8333.33,148.624816894531,5.69587326049805
8541.67,148.624816894531,5.83595895767212
8750.00,151.811462402344,5.95109796524048
8958.33,153.086120605469,6.10348844528198
9166.67,159.459396362305,6.2702112197876
9375.00,162.646041870117,6.45161914825439
9583.33,165.195343017578,6.64588403701782
9791.67,170.931304931641,6.80177354812622
10000.00,172.843276977539,6.93654727935791
10208.33,176.667251586914,7.08770275115967
