Time (microseconds),V_ch1
0.00,6.50071287155151
208.33,9.68735218048096
416.67,14.1486473083496
625.00,19.8845977783203
833.33,23.7085647583008
1041.67,25.620548248291
1250.00,30.7191715240479
1458.33,36.4551200866699
1666.67,35.8177947998047
1875.00,42.8283996582031
2083.33,42.8283996582031
2291.67,49.2016792297363
2500.00,49.2016792297363
2708.33,56.8496131896973
2916.67,60.6735801696777
3125.00,65.7722015380859
3333.33,69.5961685180664
3541.67,72.7828063964844
3750.00,74.0574645996094
3958.33,79.1560897827148
4166.67,84.8920364379883
4375.00,83.6173858642578
4583.33,89.9906616210938
4791.67,93.8146286010742
5000.00,96.3639373779297
5208.33,97.0012664794922
5416.67,103.374549865723
5625.00,102.73722076416
5833.33,109.110496520996
6041.67,104.649200439453
6250.00,114.846450805664
6458.33,119.945068359375
6666.67,121.857055664063
6875.00,125.681022644043
7083.33,129.504989624023
7291.67,135.878265380859
7500.00,137.152923583984
7708.33,140.97688293457
7916.67,144.800857543945
8125.00,149.899475097656
8333.33,149.262145996094
8541.67,156.910079956055
8750.00,160.096725463867
8958.33,163.920684814453
9166.67,169.019317626953
9375.00,172.843276977539
9583.33,176.029922485352
9791.67,181.765869140625
10000.00,182.403198242188
10208.33,185.58984375
10416.67,191.963119506836
10625.00,197.061737060547
10833.33,200.248382568359
11041.67,201.523040771484
11250.00,205.984329223633
11458.33,212.994934082031
11666.67,216.818908691406
11875.00,220.642868041992
12083.33,223.829513549805
12291.67,227.653472900391
12500.00,230.840118408203
12708.33,234.664077758789
12916.67,237.850723266602
13125.00,242.949340820313
13333.33,248.047973632813
13541.67,249.959945678711
13750.00,248.685302734375
13958.33,255.695907592773
14166.67,258.882537841797
14375.00,259.519866943359
14583.33,265.893157958984
14791.67,265.893157958984
15000.00,269.079772949219
15208.33,271.629089355469
15416.67,278.002380371094
15625.00,278.639709472656
15833.33,280.551696777344
16041.67,281.826354980469
16250.00,283.101013183594
16458.33,285.650299072266
16666.67,285.650299072266
16875.00,288.836944580078
17083.33,289.474273681641
17291.67,290.111602783203
17500.00,292.660919189453
17708.33,300.946166992188
17916.67,296.484893798828
18125.00,297.122222900391
18333.33,300.946166992188
18541.67,302.858154296875
18750.00,304.1328125
18958.33,305.407470703125
19166.67,306.044799804688
19375.00,304.770141601563
19583.33,307.956787109375
19791.67,310.506103515625
20000.00,314.967407226563
20208.33,311.78076171875
20416.67,314.330078125
20625.00,311.78076171875
20833.33,313.692749023438
21041.67,314.967407226563
21250.00,318.154022216797
21458.33,316.879364013672
21666.67,316.879364013672
21875.00,318.154022216797
22083.33,319.428680419922
22291.67,315.604705810547
22500.00,319.428680419922
22708.33,320.066009521484
22916.67,320.066009521484
23125.00,321.977996826172
23333.33,319.428680419922
23541.67,321.340667724609
23750.00,321.977996826172
23958.33,321.977996826172
24166.67,323.252655029297
24375.00,325.164642333984
24583.33,321.977996826172
24791.67,327.076629638672
25000.00,324.527313232422
