Time (microseconds),V_ch1,I_ch2
0.00,1.40209019184113,1.16483104228973
208.33,4.58872938156128,1.86790955066681
416.67,9.05002403259277,2.32396054267883
625.00,10.962007522583,2.47597742080688
833.33,14.7859754562378,2.43797326087952
1041.67,19.2472705841064,2.38096690177917
1250.00,23.7085647583008,2.17194366455078
1458.33,26.8952045440674,2.5519859790802
1666.67,30.081844329834,3.08404541015625
1875.00,31.9938278198242,3.16005396842957
2083.33,37.7297782897949,3.08404541015625
2291.67,42.8283996582031,3.00803685188293
2500.00,44.7403831481934,3.31207084655762
2708.33,49.8390083312988,3.16005396842957
2916.67,51.7509918212891,3.54009652137756
3125.00,54.3003005981445,3.76812195777893
3333.33,60.0362510681152,4.1861686706543
3541.67,63.2228927612305,4.07215595245361
3750.00,67.6841888427734,4.56621122360229
3958.33,72.1454849243164,4.30018138885498
4166.67,74.6947937011719,4.28117942810059
4375.00,76.6067733764648,4.37618970870972
4583.33,81.0680694580078,4.83224058151245
4791.67,83.6173858642578,5.13627481460571
5000.00,87.4413528442383,5.66833400726318
5208.33,91.2653198242188,5.40230464935303
5416.67,93.8146286010742,5.36430025100708
5625.00,95.7266082763672,5.28829193115234
5833.33,101.462562561035,5.44030857086182
6041.67,105.286529541016,5.74434280395508
6250.00,106.561187744141,6.3144063949585
6458.33,111.659805297852,5.89635944366455
6666.67,114.846450805664,6.12438488006592
6875.00,118.670417785645,6.6184401512146
7083.33,121.857055664063,6.50442743301392
7291.67,125.04369354248,6.96047830581665
7500.00,130.142318725586,7.07449102401733
7708.33,133.328948974609,7.3785252571106
7916.67,138.427581787109,7.30251693725586
8125.00,140.97688293457,7.41652965545654
8333.33,151.811462402344,7.72056341171265
8541.67,148.624816894531,8.29062747955322
8750.00,153.086120605469,7.83457612991333
8958.33,154.360778808594,8.17661476135254
9166.67,158.18473815918,8.02459716796875
9375.00,163.920684814453,8.65166759490967
9583.33,167.744659423828,8.29062747955322
9791.67,173.480606079102,8.4426441192627
10000.00,176.029922485352,8.63266563415527
10208.33,180.4912109375,9.24073314666748
10416.67,184.952514648438,9.54476737976074
10625.00,192.600448608398,9.54476737976074
10833.33,191.325790405273,9.20272922515869
11041.67,194.512435913086,9.35474586486816
11250.00,198.973724365234,9.69678401947021
11458.33,201.523040771484,9.848801612854
11666.67,205.984329223633,10.6088857650757
11875.00,209.170974731445,10.0008182525635
12083.33,213.632263183594,10.1148309707642
12291.67,214.269592285156,10.1528348922729
12500.00,216.181579589844,9.96281433105469
12708.33,221.917526245117,10.7609033584595
12916.67,233.389434814453,10.6088857650757
13125.00,230.202789306641,10.7609033584595
13333.33,232.752105712891,10.7609033584595
13541.67,235.301406860352,10.4568691253662
13750.00,239.762710571289,10.4568691253662
13958.33,244.223999023438,10.7799053192139
14166.67,244.223999023438,11.0649366378784
14375.00,249.322616577148,11.3689708709717
14583.33,249.322616577148,11.9770393371582
14791.67,254.421249389648,11.9770393371582
15000.00,257.607879638672,11.0649366378784
15208.33,255.695907592773,11.0649366378784
15416.67,263.343841552734,11.8250217437744
15625.00,264.618499755859,11.3689708709717
15833.33,267.167816162109,11.7870178222656
16041.67,265.893157958984,11.7870178222656
16250.00,270.354431152344,12.0910520553589
16458.33,273.541076660156,12.1290559768677
16666.67,274.815734863281,11.6730051040649
16875.00,274.178405761719,12.0910520553589
17083.33,278.639709472656,11.9390344619751
17291.67,281.189025878906,12.3000745773315
17500.00,278.639709472656,12.2430686950684
17708.33,286.287628173828,11.5209875106812
17916.67,286.287628173828,11.6730051040649
18125.00,291.386260986328,11.9770393371582
18333.33,286.924957275391,12.2430686950684
18541.67,289.474273681641,12.1290559768677
18750.00,293.935577392578,12.1290559768677
18958.33,292.660919189453,12.0910520553589
19166.67,292.660919189453,11.8250217437744
19375.00,295.210235595703,11.9770393371582
19583.33,296.484893798828,12.2430686950684
19791.67,295.210235595703,11.9390344619751
20000.00,297.759552001953,12.8891410827637
20208.33,297.759552001953,11.6730051040649
20416.67,305.407470703125,12.2430686950684
20625.00,301.58349609375,11.9390344619751
20833.33,302.858154296875,12.3000745773315
21041.67,301.58349609375,11.9770393371582
21250.00,304.1328125,12.3950853347778
21458.33,302.220825195313,12.5471029281616
21666.67,305.407470703125,12.3950853347778
21875.00,309.2314453125,11.9960412979126
22083.33,305.407470703125,11.8250217437744
22291.67,306.68212890625,12.2430686950684
22500.00,306.68212890625,12.8891410827637
22708.33,309.2314453125,12.6041088104248
22916.67,309.868774414063,12.6991195678711
23125.00,309.2314453125,12.2430686950684
23333.33,309.2314453125,12.0910520553589
23541.67,310.506103515625,12.2430686950684
23750.00,313.692749023438,12.6991195678711
23958.33,311.78076171875,12.5471029281616
24166.67,311.78076171875,12.5471029281616
24375.00,311.78076171875,12.9081430435181
24583.33,311.78076171875,11.9770393371582
24791.67,312.418090820313,12.8891410827637
25000.00,313.692749023438,12.2810726165771
25208.33,311.78076171875,12.2430686950684
25416.67,314.967407226563,12.2810726165771
25625.00,316.242034912109,12.8891410827637
25833.33,314.967407226563,12.2430686950684
26041.67,318.154022216797,12.3950853347778
26250.00,315.604705810547,12.6041088104248
26458.33,319.428680419922,12.6991195678711
26666.67,315.604705810547,12.6041088104248
26875.00,314.967407226563,12.4330902099609
27083.33,315.604705810547,12.7371234893799
27291.67,315.604705810547,12.2430686950684
27500.00,316.879364013672,12.2430686950684
27708.33,314.967407226563,12.3950853347778
27916.67,315.604705810547,12.4330902099609
28125.00,315.604705810547,12.7371234893799
28333.33,319.428680419922,12.4330902099609
28541.67,315.604705810547,12.5471029281616
