Time (microseconds),V_ch1
0.00,7.82252788543701
1041.67,27.6995239257813
2083.33,48.2177124023438
3125.00,67.4535140991211
4166.67,86.6893157958984
5208.33,107.207504272461
6250.00,127.725692749023
7291.67,140.549560546875
8333.33,165.556106567383
9375.00,186.715484619141
10416.67,204.668899536133
11458.33,221.339920043945
12500.00,239.293334960938
13541.67,257.887939453125
14583.33,275.841369628906
15625.00,289.306427001953
16666.67,305.336273193359
17708.33,308.542236328125
18750.00,316.877746582031
19791.67,324.572052001953
20833.33,327.778015136719
21875.00,330.342803955078
22916.67,330.984008789063
23958.33,334.189971923828
25000.00,337.395935058594
26041.67,339.319519042969
27083.33,340.601898193359
28125.00,339.319519042969
29166.67,340.601898193359
30208.33,341.88427734375
31250.00,341.88427734375
32291.67,332.266387939453
33333.33,322.648468017578
34375.00,305.336273193359
35416.67,295.718353271484
36458.33,280.329711914063
37500.00,265.582275390625
38541.67,248.270050048828
39583.33,232.881408691406
40625.00,214.286804199219
41666.67,195.692184448242
42708.33,177.73876953125
43750.00,157.220581054688
44791.67,137.984786987305
45833.33,121.313758850098
46875.00,95.6660232543945
47916.67,75.7890243530273
48958.33,52.7060661315918
50000.00,33.4702644348145
51041.67,13.5932683944702
52083.33,-6.92492008209229
53125.00,-26.1607208251953
54166.67,-46.0377159118652
55208.33,-65.2735214233398
56250.00,-86.4328994750977
57291.67,-105.02751159668
58333.33,-121.057342529297
59375.00,-143.499114990234
60416.67,-163.376113891602
61458.33,-182.611907958984
62500.00,-203.130096435547
63541.67,-222.365905761719
64583.33,-239.036926269531
65625.00,-258.272735595703
66666.67,-271.096588134766
67708.33,-285.844055175781
68750.00,-297.385528564453
69791.67,-315.338928222656
70833.33,-314.056549072266
71875.00,-321.109680175781
72916.67,-326.239227294922
73958.33,-329.445190429688
75000.00,-331.368774414063
76041.67,-334.574737548828
77083.33,-334.574737548828
78125.00,-336.498321533203
79166.67,-340.345489501953
80208.33,-340.345489501953
81250.00,-339.063110351563
82291.67,-340.345489501953
83333.33,-341.627868652344
84375.00,-332.651153564453
85416.67,-321.750885009766
86458.33,-307.644622802734
87500.00,-294.179565429688
88541.67,-281.355682373047
89583.33,-269.814208984375
90625.00,-250.578414916992
91666.67,-232.625
92708.33,-214.030380249023
93750.00,-193.512191772461
94791.67,-175.558776855469
95833.33,-162.093719482422
96875.00,-140.934341430664
97916.67,-120.416152954102
98958.33,-93.4860305786133
100000.00,-78.7385787963867
101041.67,-57.5791969299316
102083.33,-35.778621673584
103125.00,-15.2604341506958
104166.67,5.89894771575928
105208.33,23.2111701965332
106250.00,48.2177124023438
107291.67,67.4535140991211
108333.33,87.9717025756836
109375.00,106.566307067871
110416.67,125.802108764648
111458.33,146.320297241211
112500.00,167.479675292969
113541.67,185.433090209961
114583.33,204.027709960938
115625.00,221.339920043945
116666.67,240.575729370117
117708.33,258.529144287109
118750.00,275.200164794922
119791.67,288.024047851563
120833.33,298.283142089844
121875.00,307.259826660156
122916.67,316.236541748047
123958.33,322.007293701172
125000.00,322.648468017578
126041.67,328.419219970703
127083.33,332.266387939453
128125.00,336.113555908203
129166.67,334.831146240234
130208.33,337.395935058594
131250.00,338.678314208984
132291.67,340.601898193359
133333.33,342.525482177734
134375.00,345.090240478516
135416.67,341.88427734375
136458.33,330.984008789063
137500.00,320.083709716797
138541.67,304.695068359375
139583.33,293.153594970703
140625.00,277.123748779297
141666.67,263.65869140625
142708.33,246.987655639648
143750.00,232.240219116211
144791.67,216.210372924805
145833.33,193.768615722656
146875.00,177.73876953125
147916.67,156.579391479492
148958.33,139.267166137695
150000.00,120.031372070313
151041.67,100.795570373535
152083.33,76.4302215576172
153125.00,57.8356132507324
154166.67,34.7526512145996
155208.33,16.1580429077148
156250.00,-5.64253330230713
157291.67,-27.4431076049805
158333.33,-47.3201026916504
159375.00,-63.9911308288574
160416.67,-83.8681259155273
161458.33,-108.233474731445
162500.00,-126.186889648438
163541.67,-142.857925415039
164583.33,-162.734909057617
165625.00,-183.894302368164
166666.67,-201.847717285156
167708.33,-223.007095336914
168750.00,-238.395736694336
169791.67,-257.631530761719
170833.33,-271.096588134766
171875.00,-285.202850341797
172916.67,-296.744323730469
173958.33,-307.00341796875
175000.00,-314.056549072266
176041.67,-318.544921875
177083.33,-326.239227294922
178125.00,-330.086395263672
179166.67,-331.368774414063
180208.33,-335.857116699219
181250.00,-330.727569580078
182291.67,-337.780700683594
183333.33,-338.421905517578
184375.00,-340.345489501953
185416.67,-339.063110351563
186458.33,-339.704284667969
187500.00,-342.269073486328
188541.67,-332.009979248047
189583.33,-323.033264160156
190625.00,-308.285827636719
191666.67,-293.538360595703
192708.33,-280.073303222656
193750.00,-269.173004150391
194791.67,-250.578414916992
195833.33,-231.983795166016
196875.00,-219.801132202148
197916.67,-195.435775756836
198958.33,-178.764755249023
200000.00,-159.528945922852
201041.67,-141.575531005859
202083.33,-119.774955749512
203125.00,-99.2567672729492
204166.67,-81.9445495605469
205208.33,-57.5791969299316
206250.00,-33.8550415039063
207291.67,-20.3899803161621
208333.33,5.2577543258667
209375.00,24.4935569763184
210416.67,46.9353256225586
211458.33,64.2475433349609
212500.00,86.6893157958984
213541.67,105.925117492676
214583.33,123.878532409668
215625.00,143.755523681641
216666.67,170.685653686523
217708.33,185.433090209961
218750.00,202.745315551758
219791.67,223.904693603516
220833.33,240.575729370117
221875.00,258.529144287109
222916.67,272.635406494141
223958.33,285.459259033203
225000.00,298.283142089844
226041.67,308.542236328125
227083.33,314.954162597656
228125.00,322.648468017578
229166.67,325.854461669922
230208.33,331.625183105469
231250.00,334.189971923828
232291.67,335.472351074219
233333.33,336.754730224609
234375.00,338.037109375
235416.67,340.601898193359
236458.33,341.88427734375
237500.00,341.88427734375
238541.67,342.525482177734
239583.33,341.88427734375
240625.00,336.754730224609
241666.67,319.442504882813
242708.33,305.977447509766
243750.00,294.435974121094
244791.67,279.047332763672
