Time (microseconds),V_ch1
0.00,0.128207370638847
208.33,7.18133449554443
416.67,6.54014110565186
625.00,10.3873014450073
833.33,21.928783416748
1041.67,19.3640098571777
1250.00,27.0583305358887
1458.33,28.9819107055664
1666.67,30.9054908752441
1875.00,37.3174247741699
2083.33,40.5233917236328
2291.67,44.3705520629883
2500.00,48.2177124023438
2708.33,53.3472595214844
2916.67,55.9120330810547
3125.00,66.8123168945313
3333.33,64.8887405395508
3541.67,66.8123168945313
3750.00,71.9418640136719
3958.33,77.0714111328125
4166.67,78.3537979125977
4375.00,86.6893157958984
4583.33,88.6128921508789
4791.67,90.5364761352539
5000.00,97.589599609375
5208.33,99.51318359375
5416.67,104.001533508301
5625.00,109.131080627441
5833.33,113.619438171387
6041.67,116.184211730957
6250.00,121.954948425293
6458.33,124.519721984863
6666.67,130.290466308594
6875.00,132.855239868164
7083.33,135.420013427734
7291.67,140.549560546875
7500.00,145.679107666016
7708.33,145.03791809082
7916.67,153.373428344727
8125.00,155.938201904297
8333.33,162.991333007813
8541.67,164.914901733398
8750.00,167.479675292969
8958.33,171.326843261719
9166.67,176.456390380859
9375.00,179.02116394043
9583.33,184.15071105957
9791.67,187.356674194336
10000.00,189.280258178711
10208.33,195.692184448242
10416.67,200.180541992188
10625.00,205.951278686523
10833.33,205.951278686523
11041.67,211.080825805664
11250.00,213.004409790039
11458.33,218.775146484375
11666.67,218.775146484375
11875.00,225.187088012695
12083.33,228.393051147461
12291.67,232.240219116211
12500.00,236.728561401367
12708.33,239.934539794922
12916.67,246.987655639648
13125.00,246.987655639648
13333.33,249.552429199219
13541.67,252.117202758789
13750.00,255.323181152344
13958.33,258.529144287109
14166.67,263.65869140625
14375.00,270.070617675781
14583.33,270.711822509766
14791.67,272.635406494141
15000.00,276.482543945313
15208.33,280.970916748047
15416.67,282.894500732422
15625.00,284.818084716797
15833.33,287.382843017578
16041.67,290.588806152344
16250.00,293.153594970703
16458.33,294.435974121094
16666.67,300.847900390625
16875.00,298.283142089844
17083.33,302.130279541016
17291.67,302.130279541016
17500.00,305.336273193359
17708.33,307.259826660156
17916.67,308.542236328125
18125.00,309.824615478516
18333.33,311.748199462891
18541.67,312.389373779297
18750.00,316.236541748047
18958.33,316.877746582031
19166.67,317.518920898438
19375.00,321.366088867188
19583.33,320.083709716797
19791.67,322.648468017578
20000.00,323.930877685547
20208.33,323.289672851563
20416.67,323.930877685547
20625.00,325.854461669922
20833.33,325.854461669922
21041.67,323.930877685547
21250.00,327.136840820313
21458.33,329.060424804688
21666.67,329.060424804688
21875.00,330.342803955078
22083.33,329.060424804688
22291.67,331.625183105469
22500.00,330.984008789063
22708.33,332.907562255859
22916.67,331.625183105469
23125.00,332.907562255859
23333.33,330.342803955078
23541.67,334.831146240234
23750.00,336.754730224609
23958.33,334.189971923828
24166.67,336.754730224609
24375.00,335.472351074219
24583.33,337.395935058594
24791.67,336.754730224609
25000.00,336.754730224609
25208.33,332.266387939453
25416.67,338.037109375
25625.00,334.189971923828
25833.33,338.678314208984
26041.67,338.037109375
26250.00,339.319519042969
26458.33,339.319519042969
26666.67,338.037109375
26875.00,333.548767089844
27083.33,338.678314208984
27291.67,340.601898193359
27500.00,338.037109375
27708.33,340.601898193359
27916.67,339.960693359375
28125.00,341.88427734375
28333.33,341.243103027344
28541.67,339.960693359375
28750.00,339.319519042969
28958.33,347.013824462891
29166.67,336.754730224609
29375.00,341.88427734375
29583.33,341.88427734375
29791.67,341.243103027344
30000.00,339.960693359375
30208.33,341.88427734375
30416.67,340.601898193359
30625.00,341.243103027344
30833.33,341.88427734375
31041.67,339.960693359375
31250.00,341.88427734375
31458.33,338.037109375
31666.67,344.449066162109
31875.00,339.319519042969
32083.33,339.319519042969
32291.67,336.113555908203
32500.00,334.189971923828
32708.33,332.266387939453
32916.67,328.419219970703
33125.00,327.136840820313
33333.33,324.572052001953
33541.67,322.648468017578
33750.00,320.083709716797
33958.33,319.442504882813
34166.67,314.954162597656
34375.00,312.389373779297
34583.33,309.183410644531
34791.67,305.336273193359
35000.00,304.695068359375
35208.33,301.489105224609
35416.67,298.283142089844
35625.00,298.92431640625
35833.33,295.077178955078
36041.67,290.588806152344
36250.00,287.382843017578
36458.33,284.818084716797
36666.67,284.818084716797
36875.00,278.406127929688
37083.33,276.482543945313
37291.67,271.994201660156
37500.00,269.429443359375
37708.33,267.505859375
37916.67,266.223449707031
38125.00,261.735107421875
38333.33,257.246765136719
38541.67,259.170349121094
38750.00,250.834823608398
38958.33,250.193634033203
39166.67,242.499313354492
39375.00,240.575729370117
39583.33,236.728561401367
39791.67,234.163787841797
40000.00,229.675445556641
40208.33,229.034240722656
40416.67,222.622314453125
40625.00,218.775146484375
40833.33,219.416351318359
41041.67,211.722030639648
41250.00,209.157257080078
41458.33,204.027709960938
41666.67,200.180541992188
41875.00,196.974578857422
42083.33,194.409805297852
42291.67,190.562637329102
42500.00,184.791900634766
42708.33,184.15071105957
42916.67,179.02116394043
43125.00,179.662353515625
43333.33,171.326843261719
43541.67,166.838485717773
43750.00,164.273712158203
43958.33,159.144165039063
