Time (microseconds),V_ch1,V_ch2,V_ch3
0.00,0.127434447407722,-162.486709594727,159.682525634766
208.33,3.95140147209167,-164.398681640625,159.682525634766
416.67,4.58872938156128,-166.310668945313,157.770538330078
625.00,11.5993356704712,-166.947998046875,156.495880126953
833.33,14.7859754562378,-170.134643554688,154.583908081055
1041.67,21.1592540740967,-170.77197265625,153.946578979492
1250.00,21.1592540740967,-172.046615600586,148.847946166992
1458.33,25.620548248291,-180.331878662109,149.485275268555
1666.67,24.9832210540771,-179.057235717773,147.573287963867
1875.00,30.7191715240479,-174.595932006836,145.661315917969
2083.33,35.8177947998047,-176.507919311523,143.749328613281
2291.67,37.0924491882324,-182.243865966797,142.474670410156
2500.00,41.5537452697754,-183.518524169922,138.65071105957
2708.33,46.6523666381836,-183.518524169922,138.65071105957
2916.67,47.9270248413086,-186.067840576172,134.189407348633
3125.00,51.1136627197266,-185.430511474609,134.189407348633
3333.33,54.3003005981445,-187.342483520508,132.277420043945
3541.67,59.39892578125,-187.342483520508,127.816131591797
3750.00,65.1348724365234,-187.97981262207,128.453460693359
3958.33,63.2228927612305,-188.617141723633,123.992164611816
4166.67,70.2334976196289,-189.254470825195,122.080177307129
4375.00,73.4201354980469,-187.97981262207,122.080177307129
4583.33,75.3321228027344,-191.803787231445,117.61888885498
4791.67,81.0680694580078,-192.441116333008,114.432243347168
5000.00,83.6173858642578,-193.07844543457,113.794921875
5208.33,87.4413528442383,-193.715774536133,108.696296691895
5416.67,91.2653198242188,-194.353103637695,106.784309387207
5625.00,90.6279907226563,-196.265075683594,102.960342407227
5833.33,94.4519577026367,-193.07844543457,101.048362731934
6041.67,98.2759246826172,-196.902404785156,98.4990539550781
6250.00,98.9132537841797,-194.990417480469,96.5870666503906
6458.33,104.649200439453,-193.715774536133,89.5764617919922
6666.67,107.835838317871,-191.803787231445,89.5764617919922
6875.00,111.659805297852,-197.539733886719,87.6644744873047
7083.33,114.209121704102,-192.441116333008,83.8405075073242
7291.67,116.758430480957,-192.441116333008,82.5658569335938
7500.00,119.945068359375,-193.07844543457,78.1045608520508
7708.33,122.494384765625,-191.803787231445,72.3686065673828
7916.67,123.131706237793,-193.715774536133,70.4566268920898
8125.00,125.681022644043,-189.891799926758,69.8192977905273
8333.33,129.504989624023,-191.803787231445,65.9953308105469
8541.67,133.328948974609,-187.97981262207,62.8086891174316
8750.00,136.515594482422,-187.342483520508,60.8967056274414
8958.33,135.240936279297,-188.617141723633,57.0727386474609
9166.67,140.339553833008,-192.441116333008,53.886100769043
9375.00,142.251541137695,-184.155853271484,49.4248046875
9583.33,146.07551574707,-184.793182373047,46.8754959106445
9791.67,149.262145996094,-184.155853271484,44.3261833190918
10000.00,149.899475097656,-182.881195068359,41.7768707275391
10208.33,149.262145996094,-182.243865966797,36.0409202575684
10416.67,152.448791503906,-179.694549560547,35.4035949707031
10625.00,154.360778808594,-179.694549560547,30.3049697875977
10833.33,160.096725463867,-177.145248413086,25.8436756134033
11041.67,162.008712768555,-176.507919311523,25.2063484191895
11250.00,160.096725463867,-175.233261108398,20.7450523376465
11458.33,167.744659423828,-175.233261108398,18.8330688476563
11666.67,165.832672119141,-171.409286499023,15.0091018676758
11875.00,167.744659423828,-169.497314453125,11.8224630355835
12083.33,170.293975830078,-168.859985351563,8.63582324981689
12291.67,172.205947875977,-167.585327148438,1.62521708011627
12500.00,172.205947875977,-168.22265625,0.987889289855957
12708.33,175.392593383789,-164.398681640625,0.350561439990997
12916.67,177.304580688477,-162.486709594727,-3.47340559959412
13125.00,179.216552734375,-161.212051391602,-7.29737281799316
13333.33,181.765869140625,-161.212051391602,-9.84668445587158
13541.67,179.853881835938,-158.025405883789,-13.0333232879639
13750.00,184.315185546875,-156.113418579102,-16.8572902679443
13958.33,183.677856445313,-154.201446533203,-20.6812572479248
14166.67,186.864501953125,-153.564117431641,-23.8678970336914
14375.00,186.864501953125,-152.289459228516,-27.6918640136719
14583.33,188.776473999023,-149.102813720703,-30.8785037994385
14791.67,190.688461303711,-146.553512573242,-31.5158309936523
15000.00,191.963119506836,-152.926788330078,-35.3397979736328
15208.33,195.149749755859,-141.454879760742,-37.8891105651855
15416.67,193.237777709961,-141.454879760742,-41.0757484436035
15625.00,202.160369873047,-140.180236816406,-44.2623863220215
15833.33,197.061737060547,-135.081604003906,-50.6356658935547
16041.67,198.336395263672,-133.806945800781,-51.2729949951172
16250.00,198.973724365234,-130.620315551758,-55.0969619750977
16458.33,198.973724365234,-128.70832824707,-58.2835998535156
16666.67,198.336395263672,-129.982986450195,-62.7448959350586
16875.00,203.435012817383,-124.88436126709,-63.3822250366211
17083.33,201.523040771484,-121.060394287109,-66.5688629150391
17291.67,201.523040771484,-124.247032165527,-68.480842590332
17500.00,205.984329223633,-114.687118530273,-72.942138671875
17708.33,201.523040771484,-114.049789428711,-76.1287841796875
17916.67,212.357604980469,-111.500473022461,-79.952751159668
18125.00,204.072341918945,-108.313835144043,-83.1393890380859
18333.33,201.523040771484,-104.489868164063,-85.6886978149414
18541.67,204.709671020508,-100.665901184082,-88.2380065917969
18750.00,204.072341918945,-98.7539215087891,-91.4246520996094
18958.33,204.709671020508,-94.2926254272461,-94.6112899780273
19166.67,204.072341918945,-94.2926254272461,-96.5232696533203
19375.00,201.523040771484,-89.8313293457031,-100.984565734863
19583.33,200.885711669922,-86.6446914672852,-101.621894836426
19791.67,200.885711669922,-84.7327041625977,-106.720520019531
20000.00,201.523040771484,-80.2714080810547,-107.357841491699
20208.33,202.160369873047,-78.9967575073242,-108.632499694824
20416.67,201.523040771484,-73.8981323242188,-113.73112487793
20625.00,201.523040771484,-68.1621856689453,-116.917762756348
20833.33,200.248382568359,-66.8875274658203,-117.55509185791
